"","state","date","admission","maskwearing","delphi_samplesize","maskwearing_stderr","symptom","symptoms_stderr"
"114","dc",2021-05-03,14.1428571,92.5262444,292,1.5389003,NA,NA
"115","de",2021-05-03,17.4285714,91.5216692,736,1.026782,NA,NA
"116","fl",2021-05-03,478.7142857,81.6502105,11343,0.3634379,NA,NA
"117","ga",2021-05-03,195.7142857,78.4522867,3954.9699,0.6537803,NA,NA
"118","hi",2021-05-03,6.8571429,92.9455531,736,0.9438585,NA,NA
"119","ia",2021-05-03,32.4285714,77.7425917,2340.7099,0.8597912,NA,NA
"120","id",2021-05-03,14.5714286,67.2938732,1178.1419,1.3667954,NA,NA
"121","il",2021-05-03,234.7142857,87.7802274,7136.0012,0.3877059,NA,NA
"122","in",2021-05-03,113.1428571,80.4222603,3780.0035,0.6453916,NA,NA
"123","ks",2021-05-03,29.5714286,75.9964466,1768.1755,1.0157147,NA,NA
"124","ky",2021-05-03,120.7142857,84.5459543,2388.0703,0.7396801,NA,NA
"125","la",2021-05-03,51.4285714,75.5920159,2035.9995,0.9519521,NA,NA
"126","ma",2021-05-03,68.8571429,92.6287546,3389.009,0.448856,NA,NA
"127","md",2021-05-03,117.5714286,92.4336516,2831.9979,0.4969489,NA,NA
"128","me",2021-05-03,13.7142857,90.091383,1342,0.81559,NA,NA
"129","mi",2021-05-03,360.4285714,88.8852481,8396.9931,0.3430069,NA,NA
"130","mn",2021-05-03,89.1428571,86.8179527,2989.7864,0.6186943,NA,NA
"131","mo",2021-05-03,69.4285714,76.2002266,3154.8838,0.7581809,NA,NA
"132","ms",2021-05-03,30,71.4306936,1406.6984,1.2044583,NA,NA
"133","mt",2021-05-03,14.7142857,68.7757312,850.6247,1.5888934,NA,NA
"134","nc",2021-05-03,118.4285714,86.3935865,5244.0055,0.4734575,NA,NA
"135","nd",2021-05-03,11,65.6319978,447.2906,2.2456397,NA,NA
"136","ne",2021-05-03,14.2857143,79.0523958,1185.1062,1.1820778,NA,NA
"137","nh",2021-05-03,11.4285714,87.638492,1142,0.9739802,NA,NA
"138","nj",2021-05-03,162.5714286,92.0363835,3962.9985,0.430054,NA,NA
"139","nm",2021-05-03,22.5714286,89.7867104,1708.0709,0.7327164,NA,NA
"140","nv",2021-05-03,48.7142857,88.1451785,1338.8298,0.8834543,NA,NA
