"","state","state_full","date","finances_prop","symptom_prop","maskwearing_prop","admission_prop","depression_prop"
"112","FL","District of Columbia",2021-05-03,39.3812618,0.8590731,81.6502105,0.0256354,9.2032072
"113","GA","District of Columbia",2021-05-03,38.6562184,0.6176435,78.4522867,0.0186741,10.1809102
"114","HI","District of Columbia",2021-05-03,41.2300551,0.2365611,92.9455531,0,8.8464977
"115","IA","District of Columbia",2021-05-03,32.1957494,0.684013,77.7425917,0.0180628,9.2392475
"116","ID","District of Columbia",2021-05-03,35.1094421,0.7520027,67.2938732,0,11.0022198
"117","IL","District of Columbia",2021-05-03,36.0596577,0.9589468,87.7802274,0.0034047,9.9422572
"118","IN","District of Columbia",2021-05-03,37.7660227,1.3894837,80.4222603,0.0169188,12.0564418
"119","KS","District of Columbia",2021-05-03,34.211633,0.9741715,75.9964466,0.0441249,11.9723221
"120","KY","District of Columbia",2021-05-03,40.0289124,0.9899813,84.5459543,0.0095722,12.8875246
"121","LA","District of Columbia",2021-05-03,44.3735184,1.3704465,75.5920159,0.0153765,10.3605795
"122","MA","District of Columbia",2021-05-03,34.4101739,0.5192264,92.6287546,0.006217,10.4902647
"123","MD","District of Columbia",2021-05-03,36.0721937,0.6422593,92.4336516,0,8.1171315
"124","ME","District of Columbia",2021-05-03,36.4839825,0.5572606,90.091383,0.0105809,13.0802076
"125","MI","District of Columbia",2021-05-03,34.0376114,1.2306765,88.8852481,0.0028667,11.4265053
"126","MN","District of Columbia",2021-05-03,29.1115419,1.0725207,86.8179527,0.0075755,11.4362213
"127","MO","District of Columbia",2021-05-03,34.223801,0.8467848,76.2002266,0.0069669,12.8402749
"128","MS","District of Columbia",2021-05-03,46.5533065,1.3566752,71.4306936,0.0096304,12.0732726
"129","MT","District of Columbia",2021-05-03,33.2485655,0.8203412,68.7757312,0,8.3986642
"130","NC","District of Columbia",2021-05-03,35.799402,0.7525241,86.3935865,0.1145464,9.9545567
"131","ND","District of Columbia",2021-05-03,30.4084288,1.6176845,65.6319978,0,9.8922179
"132","NE","District of Columbia",2021-05-03,34.094902,0.78802,79.0523958,0,11.5487149
"133","NH","District of Columbia",2021-05-03,29.9724812,1.2834964,87.638492,0.010456,11.2973163
"134","NJ","District of Columbia",2021-05-03,39.1475402,0.995121,92.0363835,0.0112583,9.6624233
"135","NM","District of Columbia",2021-05-03,40.542974,1.0222643,89.7867104,0,12.206776
"136","NV","District of Columbia",2021-05-03,42.4287957,1.0280658,88.1451785,0.0045521,11.5624203
"137","NY","District of Columbia",2021-05-03,42.0977207,0.5320967,92.0065751,0.010343,10.8021653
"138","OH","District of Columbia",2021-05-03,35.3139511,1.2444005,84.4851945,0,12.5454887
"139","OK","District of Columbia",2021-05-03,42.3807748,0.9652602,73.6480125,0.021532,11.8816212
"140","OR","District of Columbia",2021-05-03,33.7994349,0.8624236,88.6282291,0.0033681,13.7099426
"141","PA","District of Columbia",2021-05-03,34.9272135,1.2194027,85.2427456,0.0122929,11.1938357
"142","RI","District of Columbia",2021-05-03,38.3631815,0.4963211,94.0106442,0,14.6120619
"143","SC","District of Columbia",2021-05-03,36.8569184,1.1282387,78.8512236,0.0027378,8.9513653
"144","SD","District of Columbia",2021-05-03,36.8898516,1.711929,66.4192055,0.032005,9.9161771
"145","TN","District of Columbia",2021-05-03,38.9432558,1.3164833,77.7957012,0.0186692,11.4129959
"146","TX","District of Columbia",2021-05-03,44.8427711,0.938941,81.5281065,0.0150833,10.715512
"147","UT","District of Columbia",2021-05-03,34.7729114,0.9060649,78.4343134,0.0043958,14.0411569
"148","VA","District of Columbia",2021-05-03,35.3495224,0.6451796,89.8959427,0.0548775,10.1318706
"149","VT","District of Columbia",2021-05-03,27.9226519,0.3087155,92.4454311,0,12.7354058
"150","WA","District of Columbia",2021-05-03,34.1093149,0.7709597,90.5652493,0.0037137,11.7214521
"151","WI","District of Columbia",2021-05-03,29.6401895,0.8898517,80.4253939,0.0097971,11.1433926
"152","WV","District of Columbia",2021-05-03,41.7347655,1.2019467,81.7672716,0.0400208,12.3123055
"153","WY","District of Columbia",2021-05-03,37.9985304,0.5527283,52.1986481,0.0245321,9.5612015
"154","AK","District of Columbia",2021-05-04,38.616408,1.5743881,75.0517419,0.1367693,11.7269769
"155","AL","District of Columbia",2021-05-04,38.3523414,0.8425888,73.4896581,0.0493459,12.1332181
"156","AR","District of Columbia",2021-05-04,40.3204973,1.0110461,74.1962087,0.0282837,12.6758107
"157","AZ","District of Columbia",2021-05-04,35.9933755,0.78437,82.0671223,0.0115496,10.167044
"158","CA","District of Columbia",2021-05-04,41.0859843,0.643327,90.9472155,0.005806,10.2140528
"159","CO","District of Columbia",2021-05-04,34.0050662,0.9252407,86.5600993,0,9.6100344
"160","CT","District of Columbia",2021-05-04,36.4509708,0.7166909,91.8964157,0.0040162,9.3145551
"161","DC","District of Columbia",2021-05-04,26.277821,0,92.0562037,0,7.69701
"162","DE","District of Columbia",2021-05-04,40.072026,0.4639306,91.5809005,0,10.7582639
"163","FL","District of Columbia",2021-05-04,39.7260346,0.8725909,81.5633409,0.0216915,9.0014479
"164","GA","District of Columbia",2021-05-04,39.3626,0.5861342,79.0830749,0.0226757,9.9477263
"165","HI","District of Columbia",2021-05-04,41.7408892,0.2578379,92.6317391,0,7.7784181
"166","IA","District of Columbia",2021-05-04,31.0851026,0.4444564,77.0206115,0.0180628,9.4944353
"167","ID","District of Columbia",2021-05-04,35.4165336,0.5988387,67.1606091,0,11.5865911
"168","IL","District of Columbia",2021-05-04,36.6683848,1.015589,87.6265602,0.0022698,10.0005392
"169","IN","District of Columbia",2021-05-04,38.0409904,1.3456863,80.221431,0.0126891,11.6779361
"170","KS","District of Columbia",2021-05-04,34.9495114,1.0153924,75.7041231,0.0441249,12.487226
"171","KY","District of Columbia",2021-05-04,40.4531444,1.0907664,84.5867558,0.0063815,13.3347955
"172","LA","District of Columbia",2021-05-04,44.5715663,1.3266154,75.2799431,0.0153765,11.316346
"173","MA","District of Columbia",2021-05-04,34.2066082,0.5655968,92.4919777,0.006217,11.0711373
"174","MD","District of Columbia",2021-05-04,35.004883,0.7695308,91.8978842,0.004718,7.3548889
"175","ME","District of Columbia",2021-05-04,35.5905727,0.4831457,90.3248588,0.0105809,14.0262375
"176","MI","District of Columbia",2021-05-04,34.5326511,1.1986583,88.9231499,0.0028667,11.9058343
"177","MN","District of Columbia",2021-05-04,29.172871,0.9072679,86.2796001,0.0050503,10.3841041
"178","MO","District of Columbia",2021-05-04,34.4267361,0.8640143,75.9459445,0.0092892,12.8510457
"179","MS","District of Columbia",2021-05-04,46.3795612,1.0902255,72.4849313,0.0144456,11.7655631
"180","MT","District of Columbia",2021-05-04,31.227436,0.7300856,69.0732554,0,8.4636815
"181","NC","District of Columbia",2021-05-04,35.8456602,0.7803744,85.771145,0.0970275,9.5412734
"182","ND","District of Columbia",2021-05-04,31.0792126,1.7778316,65.3140252,0,10.0630786
"183","NE","District of Columbia",2021-05-04,33.6637314,0.724168,78.2458775,0,12.3137075
"184","NH","District of Columbia",2021-05-04,29.6848371,0.9184194,88.0417478,0.0313679,11.3642273
"185","NJ","District of Columbia",2021-05-04,38.9784129,0.896691,91.882151,0.0112583,9.7449129
