,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
91,sc,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.1910083,0.517212,3120.0017,state,fb-survey
92,sd,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.3801068,1.1188315,679.0503,state,fb-survey
93,tn,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.9137076,0.5339246,3681.2507,state,fb-survey
94,tx,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,10.3669775,0.2880001,11203.0115,state,fb-survey
95,ut,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,13.6666148,0.8417521,1665.2189,state,fb-survey
96,va,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,10.4349795,0.4228361,5227.4017,state,fb-survey
97,vt,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,12.9272565,1.3387951,628.001,state,fb-survey
98,wa,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.5112627,0.4479666,5075.9765,state,fb-survey
99,wi,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.4851543,0.5174351,3797.0049,state,fb-survey
100,wv,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,12.8161823,0.8882951,1416.0546,state,fb-survey
101,wy,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.3062156,1.3901285,436.7579,state,fb-survey
102,ak,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.9775072,1.4743792,485.0,state,fb-survey
103,al,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,12.473083,0.7054003,2194.0381,state,fb-survey
104,ar,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,12.4179488,0.8403203,1540.1933,state,fb-survey
105,az,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,9.5798281,0.481973,3728.873,state,fb-survey
106,ca,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,10.0191086,0.2484312,14607.2049,state,fb-survey
107,co,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,9.9195758,0.5128075,3397.9328,state,fb-survey
108,ct,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,9.6327369,0.5930521,2475.0,state,fb-survey
109,dc,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,6.696886,1.4859059,283.0,state,fb-survey
110,de,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,10.3263836,1.1332842,721.0,state,fb-survey
111,fl,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,9.2032072,0.2733786,11181.0,state,fb-survey
112,ga,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,10.1809102,0.4839767,3903.9681,state,fb-survey
113,hi,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,8.8464977,1.0517405,729.0,state,fb-survey
114,ia,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,9.2392475,0.6002096,2327.7099,state,fb-survey
115,id,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.0022198,0.9136038,1173.1235,state,fb-survey
116,il,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,9.9422572,0.3552941,7093.0013,state,fb-survey
117,in,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,12.0564418,0.5318775,3748.0035,state,fb-survey
118,ks,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.9723221,0.7731274,1763.1755,state,fb-survey
119,ky,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,12.8875246,0.6895575,2361.0699,state,fb-survey
120,la,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,10.3605795,0.6775536,2022.9994,state,fb-survey
121,ma,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,10.4902647,0.528559,3361.01,state,fb-survey
122,md,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,8.1171315,0.5169384,2790.998,state,fb-survey
123,me,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,13.0802076,0.9224937,1336.0,state,fb-survey
124,mi,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.4265053,0.3471943,8395.9927,state,fb-survey
125,mn,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,11.4362213,0.5813543,2996.7945,state,fb-survey
126,mo,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,12.8402749,0.5971143,3138.8834,state,fb-survey
127,ms,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,12.0732726,0.8755679,1384.7337,state,fb-survey
128,mt,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,8.3986642,0.951004,850.6431,state,fb-survey
129,nc,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,9.9545567,0.4149839,5205.0055,state,fb-survey
130,nd,smoothed_wdepressed_7d,2021-05-03,2021-05-08,5,9.8922179,1.4194929,442.3739,state,fb-survey
