,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
85,ny,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,92.2803975,0.2827094,8913.0005,state,fb-survey
86,oh,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,84.2183533,0.4368993,6962.9994,state,fb-survey
87,ok,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,74.684805,0.9098271,2283.9984,state,fb-survey
88,or,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,88.2081347,0.5669307,3236.1694,state,fb-survey
89,pa,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,85.5733479,0.3938426,7959.0042,state,fb-survey
90,ri,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,94.3517776,0.860334,719.992,state,fb-survey
91,sc,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,79.7389664,0.712439,3183.0018,state,fb-survey
92,sd,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,67.0741116,1.8032431,679.1784,state,fb-survey
93,tn,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,78.189897,0.6795161,3693.2509,state,fb-survey
94,tx,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,81.5089967,0.3640848,11370.0127,state,fb-survey
95,ut,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,79.1991581,0.993744,1668.2165,state,fb-survey
96,va,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,90.1068831,0.41204,5250.6423,state,fb-survey
97,vt,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,92.9178416,1.0236517,628.001,state,fb-survey
98,wa,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,90.6024532,0.4106129,5049.9754,state,fb-survey
99,wi,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,81.1441234,0.6338743,3808.0047,state,fb-survey
100,wv,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,82.2676705,1.0139065,1419.0548,state,fb-survey
101,wy,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,54.9444629,2.3917325,432.7598,state,fb-survey
102,ak,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,76.0472707,1.9480437,480.0,state,fb-survey
103,al,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,73.7158084,0.9354816,2214.0365,state,fb-survey
104,ar,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,73.342435,1.1234017,1549.1934,state,fb-survey
105,az,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,82.4365492,0.6211306,3752.873,state,fb-survey
106,ca,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,91.1047847,0.2334717,14867.2048,state,fb-survey
107,co,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,86.2013048,0.5912228,3402.903,state,fb-survey
108,ct,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,92.2776417,0.5357163,2483.0,state,fb-survey
109,dc,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,92.5262444,1.5389003,292.0,state,fb-survey
110,de,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,91.5216692,1.026782,736.0,state,fb-survey
111,fl,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,81.6502105,0.3634379,11343.0,state,fb-survey
112,ga,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,78.4522867,0.6537803,3954.9699,state,fb-survey
113,hi,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,92.9455531,0.9438585,736.0,state,fb-survey
114,ia,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,77.7425917,0.8597912,2340.7099,state,fb-survey
115,id,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,67.2938732,1.3667954,1178.1419,state,fb-survey
116,il,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,87.7802274,0.3877059,7136.0012,state,fb-survey
117,in,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,80.4222603,0.6453916,3780.0035,state,fb-survey
118,ks,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,75.9964466,1.0157147,1768.1755,state,fb-survey
119,ky,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,84.5459543,0.7396801,2388.0703,state,fb-survey
120,la,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,75.5920159,0.9519521,2035.9995,state,fb-survey
121,ma,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,92.6287546,0.448856,3389.009,state,fb-survey
122,md,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,92.4336516,0.4969489,2831.9979,state,fb-survey
123,me,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,90.091383,0.81559,1342.0,state,fb-survey
124,mi,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,88.8852481,0.3430069,8396.9931,state,fb-survey
125,mn,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,86.8179527,0.6186943,2989.7864,state,fb-survey
126,mo,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,76.2002266,0.7581809,3154.8838,state,fb-survey
127,ms,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,71.4306936,1.2044583,1406.6984,state,fb-survey
128,mt,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,68.7757312,1.5888934,850.6247,state,fb-survey
129,nc,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,86.3935865,0.4734575,5244.0055,state,fb-survey
130,nd,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,65.6319978,2.2456397,447.2906,state,fb-survey
131,ne,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,79.0523958,1.1820778,1185.1062,state,fb-survey
132,nh,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,87.638492,0.9739802,1142.0,state,fb-survey
133,nj,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,92.0363835,0.430054,3962.9985,state,fb-survey
134,nm,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,89.7867104,0.7327164,1708.0709,state,fb-survey
135,nv,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,88.1451785,0.8834543,1338.8298,state,fb-survey
136,ny,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,92.0065751,0.2941656,8499.0007,state,fb-survey
137,oh,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,84.4851945,0.4437022,6657.9988,state,fb-survey
138,ok,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,73.6480125,0.9489945,2154.9986,state,fb-survey
139,or,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,88.6282291,0.5650035,3157.1695,state,fb-survey
140,pa,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,85.2427456,0.4092714,7510.0036,state,fb-survey
141,ri,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,94.0106442,0.9073052,683.991,state,fb-survey
142,sc,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,78.8512236,0.7388241,3055.0027,state,fb-survey
143,sd,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,66.4192055,1.8135743,678.1315,state,fb-survey
144,tn,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,77.7957012,0.7012325,3512.9225,state,fb-survey
145,tx,smoothed_wwearing_mask_7d,2021-05-03,2021-05-08,5,81.5281065,0.3724381,10857.0157,state,fb-survey
