,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
156,az,smoothed_wworried_finances,2021-05-04,2021-05-09,5,35.9933755,0.7786864,3799.4636,state,fb-survey
157,ca,smoothed_wworried_finances,2021-05-04,2021-05-09,5,41.0859843,0.4082488,14523.2048,state,fb-survey
158,co,smoothed_wworried_finances,2021-05-04,2021-05-09,5,34.0050662,0.8178791,3354.8723,state,fb-survey
159,ct,smoothed_wworried_finances,2021-05-04,2021-05-09,5,36.4509708,0.9816163,2404.0,state,fb-survey
160,dc,smoothed_wworried_finances,2021-05-04,2021-05-09,5,26.277821,2.635067,279.0,state,fb-survey
161,de,smoothed_wworried_finances,2021-05-04,2021-05-09,5,40.072026,1.8075561,735.0,state,fb-survey
162,fl,smoothed_wworried_finances,2021-05-04,2021-05-09,5,39.7260346,0.4674518,10958.0002,state,fb-survey
163,ga,smoothed_wworried_finances,2021-05-04,2021-05-09,5,39.3626,0.7908783,3815.9707,state,fb-survey
164,hi,smoothed_wworried_finances,2021-05-04,2021-05-09,5,41.7408892,1.8454984,714.0,state,fb-survey
165,ia,smoothed_wworried_finances,2021-05-04,2021-05-09,5,31.0851026,0.9566571,2340.738,state,fb-survey
166,id,smoothed_wworried_finances,2021-05-04,2021-05-09,5,35.4165336,1.40979,1150.8495,state,fb-survey
167,il,smoothed_wworried_finances,2021-05-04,2021-05-09,5,36.6683848,0.577425,6965.0011,state,fb-survey
168,in,smoothed_wworried_finances,2021-05-04,2021-05-09,5,38.0409904,0.7987846,3694.0006,state,fb-survey
169,ks,smoothed_wworried_finances,2021-05-04,2021-05-09,5,34.9495114,1.1456642,1732.1162,state,fb-survey
170,ky,smoothed_wworried_finances,2021-05-04,2021-05-09,5,40.4531444,1.0037779,2390.7592,state,fb-survey
171,la,smoothed_wworried_finances,2021-05-04,2021-05-09,5,44.5715663,1.1125385,1995.9994,state,fb-survey
172,ma,smoothed_wworried_finances,2021-05-04,2021-05-09,5,34.2066082,0.827709,3285.012,state,fb-survey
173,md,smoothed_wworried_finances,2021-05-04,2021-05-09,5,35.004883,0.909575,2749.9979,state,fb-survey
174,me,smoothed_wworried_finances,2021-05-04,2021-05-09,5,35.5905727,1.3182052,1319.2234,state,fb-survey
175,mi,smoothed_wworried_finances,2021-05-04,2021-05-09,5,34.5326511,0.5237028,8242.9929,state,fb-survey
176,mn,smoothed_wworried_finances,2021-05-04,2021-05-09,5,29.172871,0.8369626,2949.6242,state,fb-survey
177,mo,smoothed_wworried_finances,2021-05-04,2021-05-09,5,34.4267361,0.8540615,3094.8841,state,fb-survey
178,ms,smoothed_wworried_finances,2021-05-04,2021-05-09,5,46.3795612,1.3412458,1382.4208,state,fb-survey
179,mt,smoothed_wworried_finances,2021-05-04,2021-05-09,5,31.227436,1.6005202,838.3574,state,fb-survey
180,nc,smoothed_wworried_finances,2021-05-04,2021-05-09,5,35.8456602,0.6708425,5110.0063,state,fb-survey
181,nd,smoothed_wworried_finances,2021-05-04,2021-05-09,5,31.0792126,2.1993813,442.8118,state,fb-survey
182,ne,smoothed_wworried_finances,2021-05-04,2021-05-09,5,33.6637314,1.3749564,1181.2327,state,fb-survey
183,nh,smoothed_wworried_finances,2021-05-04,2021-05-09,5,29.6848371,1.3592381,1129.7766,state,fb-survey
184,nj,smoothed_wworried_finances,2021-05-04,2021-05-09,5,38.9784129,0.7826547,3882.999,state,fb-survey
185,nm,smoothed_wworried_finances,2021-05-04,2021-05-09,5,40.1513739,1.1975766,1675.5136,state,fb-survey
186,nv,smoothed_wworried_finances,2021-05-04,2021-05-09,5,41.8056353,1.3780529,1281.1028,state,fb-survey
187,ny,smoothed_wworried_finances,2021-05-04,2021-05-09,5,42.2752607,0.5416775,8317.0005,state,fb-survey
188,oh,smoothed_wworried_finances,2021-05-04,2021-05-09,5,35.2679511,0.5872913,6619.0009,state,fb-survey
189,ok,smoothed_wworried_finances,2021-05-04,2021-05-09,5,42.5188174,1.0824214,2085.9993,state,fb-survey
190,or,smoothed_wworried_finances,2021-05-04,2021-05-09,5,33.4703061,0.8471002,3103.1703,state,fb-survey
191,pa,smoothed_wworried_finances,2021-05-04,2021-05-09,5,34.7713515,0.5553894,7353.0035,state,fb-survey
192,ri,smoothed_wworried_finances,2021-05-04,2021-05-09,5,38.3301014,1.8337184,702.988,state,fb-survey
193,sc,smoothed_wworried_finances,2021-05-04,2021-05-09,5,36.9910306,0.8903802,2940.0032,state,fb-survey
194,sd,smoothed_wworried_finances,2021-05-04,2021-05-09,5,36.7159152,1.8907636,649.9417,state,fb-survey
195,tn,smoothed_wworried_finances,2021-05-04,2021-05-09,5,39.2966699,0.819817,3549.2322,state,fb-survey
196,tx,smoothed_wworried_finances,2021-05-04,2021-05-09,5,44.6924695,0.4839269,10555.0212,state,fb-survey
197,ut,smoothed_wworried_finances,2021-05-04,2021-05-09,5,34.2340878,1.214596,1526.1454,state,fb-survey
198,va,smoothed_wworried_finances,2021-05-04,2021-05-09,5,35.4506278,0.6825246,4912.2367,state,fb-survey
199,vt,smoothed_wworried_finances,2021-05-04,2021-05-09,5,29.025988,1.907808,566.0008,state,fb-survey
200,wa,smoothed_wworried_finances,2021-05-04,2021-05-09,5,33.6654666,0.6768244,4874.9744,state,fb-survey
201,wi,smoothed_wworried_finances,2021-05-04,2021-05-09,5,29.8177816,0.765519,3571.0048,state,fb-survey
202,wv,smoothed_wworried_finances,2021-05-04,2021-05-09,5,42.1425868,1.3340714,1370.0046,state,fb-survey
203,wy,smoothed_wworried_finances,2021-05-04,2021-05-09,5,36.299861,2.3668181,412.7771,state,fb-survey
204,ak,smoothed_wworried_finances,2021-05-05,2021-05-10,5,41.8421312,2.2469201,482.0,state,fb-survey
205,al,smoothed_wworried_finances,2021-05-05,2021-05-10,5,38.8154187,1.0606553,2111.0462,state,fb-survey
206,ar,smoothed_wworried_finances,2021-05-05,2021-05-10,5,41.2680906,1.2927239,1450.3638,state,fb-survey
207,az,smoothed_wworried_finances,2021-05-05,2021-05-10,5,35.4361243,0.7843901,3718.5329,state,fb-survey
208,ca,smoothed_wworried_finances,2021-05-05,2021-05-10,5,41.0403069,0.4095357,14427.2048,state,fb-survey
209,co,smoothed_wworried_finances,2021-05-05,2021-05-10,5,33.9137945,0.8296785,3255.8733,state,fb-survey
210,ct,smoothed_wworried_finances,2021-05-05,2021-05-10,5,36.7164895,0.9845592,2397.0,state,fb-survey
211,dc,smoothed_wworried_finances,2021-05-05,2021-05-10,5,26.3416607,2.6659452,273.0,state,fb-survey
212,de,smoothed_wworried_finances,2021-05-05,2021-05-10,5,40.8286387,1.8511588,705.0,state,fb-survey
213,fl,smoothed_wworried_finances,2021-05-05,2021-05-10,5,39.8731124,0.4720725,10757.9997,state,fb-survey
214,ga,smoothed_wworried_finances,2021-05-05,2021-05-10,5,39.4873238,0.7996366,3736.9629,state,fb-survey
215,hi,smoothed_wworried_finances,2021-05-05,2021-05-10,5,42.3357928,1.836275,724.0,state,fb-survey
216,ia,smoothed_wworried_finances,2021-05-05,2021-05-10,5,31.8787021,0.9698617,2308.6809,state,fb-survey
217,id,smoothed_wworried_finances,2021-05-05,2021-05-10,5,36.1706888,1.4114807,1158.8495,state,fb-survey
218,il,smoothed_wworried_finances,2021-05-05,2021-05-10,5,37.2238985,0.5869879,6782.0009,state,fb-survey
219,in,smoothed_wworried_finances,2021-05-05,2021-05-10,5,37.4392178,0.8006268,3654.0008,state,fb-survey
220,ks,smoothed_wworried_finances,2021-05-05,2021-05-10,5,33.8445889,1.1523579,1686.0865,state,fb-survey
221,ky,smoothed_wworried_finances,2021-05-05,2021-05-10,5,40.3285317,1.0189547,2317.7649,state,fb-survey
222,la,smoothed_wworried_finances,2021-05-05,2021-05-10,5,44.8478497,1.1202342,1970.9992,state,fb-survey
223,ma,smoothed_wworried_finances,2021-05-05,2021-05-10,5,33.6236624,0.8266474,3266.0115,state,fb-survey
224,md,smoothed_wworried_finances,2021-05-05,2021-05-10,5,35.7287609,0.9275624,2668.9984,state,fb-survey
225,me,smoothed_wworried_finances,2021-05-05,2021-05-10,5,34.742818,1.3089712,1323.2234,state,fb-survey
226,mi,smoothed_wworried_finances,2021-05-05,2021-05-10,5,34.824816,0.5292197,8103.9938,state,fb-survey
227,mn,smoothed_wworried_finances,2021-05-05,2021-05-10,5,29.0440097,0.8484831,2862.5905,state,fb-survey
228,mo,smoothed_wworried_finances,2021-05-05,2021-05-10,5,34.0188446,0.8670504,2985.732,state,fb-survey
229,ms,smoothed_wworried_finances,2021-05-05,2021-05-10,5,45.126598,1.3579926,1342.764,state,fb-survey
230,mt,smoothed_wworried_finances,2021-05-05,2021-05-10,5,31.7341716,1.6240658,821.3406,state,fb-survey
231,nc,smoothed_wworried_finances,2021-05-05,2021-05-10,5,36.1329659,0.6758624,5052.0056,state,fb-survey
232,nd,smoothed_wworried_finances,2021-05-05,2021-05-10,5,33.7491217,2.2679897,434.6823,state,fb-survey
233,ne,smoothed_wworried_finances,2021-05-05,2021-05-10,5,34.1848493,1.4113256,1129.5491,state,fb-survey
234,nh,smoothed_wworried_finances,2021-05-05,2021-05-10,5,30.0490601,1.3713071,1117.7766,state,fb-survey
235,nj,smoothed_wworried_finances,2021-05-05,2021-05-10,5,38.9176766,0.7848631,3858.9991,state,fb-survey
236,nm,smoothed_wworried_finances,2021-05-05,2021-05-10,5,39.2137839,1.2253844,1587.4468,state,fb-survey
237,nv,smoothed_wworried_finances,2021-05-05,2021-05-10,5,41.7299185,1.3957942,1248.1028,state,fb-survey
